iter	Passed	Remaining
400	21054	31450
401	21096	31381
402	21140	31317
403	21182	31250
404	21222	31178
405	21264	31110
406	21313	31053
407	21357	30989
408	21420	30952
409	21489	30923
410	21534	30860
411	21595	30820
412	21661	30787
413	21730	30758
414	21793	30720
415	21847	30670
416	21916	30641
417	21981	30606
418	22038	30559
419	22087	30501
420	22144	30454
421	22187	30390
422	22230	30324
423	22279	30265
424	22323	30201
425	22369	30140
426	22428	30097
427	22470	30031
428	22510	29961
429	22580	29931
430	22631	29877
431	22699	29845
432	22746	29785
433	22792	29725
434	22875	29711
435	22932	29664
436	22991	29620
437	23045	29569
438	23094	29512
439	23135	29445
440	23184	29388
441	23247	29348
442	23294	29289
443	23336	29223
444	23380	29159
445	23441	29117
446	23485	29054
447	23529	28991
448	23588	28946
449	23636	28888
450	23686	28833
451	23755	28800
452	23808	28749
453	23864	28700
454	23923	28655
455	23978	28605
456	24023	28544
457	24075	28491
458	24143	28456
459	24205	28414
460	24263	28368
461	24322	28323
462	24372	28267
463	24424	28214
464	24480	28166
465	24545	28127
466	24599	28075
467	24647	28017
468	24700	27966
469	24758	27919
470	24823	27880
471	24875	27826
472	24937	27784
473	24985	27726
474	25032	27667
475	25092	27622
476	25139	27564
477	25188	27507
478	25252	27466
479	25292	27400
480	25333	27335
481	25388	27284
482	25444	27235
483	25495	27180
484	25549	27130
485	25601	27076
486	25653	27023
487	25704	26969
488	25766	26925
489	25819	26873
490	25872	26820
491	25939	26783
492	25985	26723
493	26038	26671
494	26103	26631
495	26166	26588
496	26224	26541
497	26292	26503
498	26348	26453
499	26417	26417
500	26488	26383
501	26537	26326
502	26581	26264
503	26642	26219
504	26692	26164
505	26757	26122
506	26805	26065
507	26869	26022
508	26930	25977
509	26984	25926
510	27039	25874
511	27101	25830
512	27163	25786
513	27221	25738
514	27286	25697
515	27335	25640
516	27378	25578
517	27427	25520
518	27471	25459
519	27514	25397
520	27558	25336
521	27615	25287
522	27683	25248
523	27728	25188
524	27787	25141
525	27848	25095
526	27896	25038
527	27957	24992
528	28002	24932
529	28059	24883
530	28122	24838
531	28180	24790
532	28243	24745
533	28308	24703
534	28375	24662
535	28438	24618
536	28500	24573
537	28565	24530
538	28620	24478
539	28689	24439
540	28738	24382
541	28788	24326
542	28843	24275
543	28903	24228
544	28957	24175
545	29009	24121
546	29059	24065
547	29114	24014
548	29158	23953
549	29213	23901
550	29263	23846
551	29321	23797
552	29377	23746
553	29440	23701
554	29485	23641
555	29548	23596
556	29593	23536
557	29660	23494
558	29705	23435
559	29750	23375
560	29828	23341
561	29888	23294
562	29938	23238
563	29993	23186
564	30050	23136
565	30091	23073
566	30155	23028
567	30210	22977
568	30263	22923
569	30328	22879
570	30374	22820
571	30440	22776
572	30489	22720
573	30534	22661
574	30584	22605
575	30651	22563
576	30709	22513
577	30763	22460
578	30812	22404
579	30854	22342
580	30903	22286
581	30960	22236
582	31012	22182
583	31084	22142
584	31128	22082
585	31205	22045
586	31253	21989
587	31312	21939
588	31371	21890
589	31411	21828
590	31456	21769
591	31507	21714
592	31552	21655
593	31627	21617
594	31674	21559
595	31741	21515
596	31785	21456
597	31839	21403
598	31892	21350
599	31945	21297
600	31989	21237
601	32047	21187
602	32108	21139
603	32165	21088
604	32228	21041
605	32290	20994
606	32336	20936
607	32394	20886
608	32450	20834
609	32505	20781
610	32557	20728
611	32612	20675
612	32667	20623
613	32716	20567
614	32781	20522
615	32841	20472
616	32903	20424
617	32962	20374
618	33015	20321
619	33062	20263
620	33112	20208
621	33183	20165
622	33237	20113
623	33293	20061
624	33358	20015
625	33418	19965
626	33474	19913
627	33522	19857
628	33588	19811
629	33651	19763
630	33704	19710
631	33758	19656
632	33813	19604
633	33878	19557
634	33945	19511
635	34008	19464
636	34068	19414
637	34124	19362
638	34193	19317
639	34257	19270
640	34317	19219
641	34381	19172
642	34430	19116
643	34469	19054
644	34514	18996
645	34564	18940
646	34620	18888
647	34660	18828
648	34728	18782
649	34789	18732
650	34849	18683
651	34906	18630
652	34953	18574
653	35008	18521
654	35062	18467
655	35125	18419
656	35183	18368
657	35237	18314
658	35301	18266
659	35364	18217
660	35437	18174
661	35507	18129
662	35564	18077
663	35616	18022
664	35668	17968
665	35735	17921
666	35805	17876
667	35867	17826
668	35930	17777
669	35993	17728
670	36051	17676
671	36119	17629
672	36199	17588
673	36269	17543
674	36337	17495
675	36393	17443
676	36452	17391
677	36518	17343
678	36590	17298
679	36658	17251
680	36711	17196
681	36775	17147
682	36836	17097
683	36906	17050
684	36959	16996
685	37017	16943
686	37080	16894
687	37146	16845
688	37210	16796
689	37269	16744
690	37338	16696
691	37399	16646
692	37493	16609
693	37568	16564
694	37640	16518
695	37704	16468
696	37765	16417
697	37832	16368
698	37883	16313
699	37929	16255
700	37997	16207
701	38065	16158
702	38128	16108
703	38179	16052
704	38245	16003
705	38298	15948
706	38355	15895
707	38408	15840
708	38471	15790
709	38525	15735
710	38587	15684
711	38638	15629
712	38680	15569
713	38745	15519
714	38799	15465
715	38851	15410
716	38911	15358
717	38975	15307
718	39033	15254
719	39096	15204
720	39169	15156
721	39210	15097
722	39278	15048
723	39332	14994
724	39399	14944
725	39459	14892
726	39509	14836
727	39558	14780
728	39614	14726
729	39676	14674
730	39722	14617
731	39764	14558
732	39810	14501
733	39887	14454
734	39943	14401
735	40004	14349
736	40054	14293
737	40127	14245
738	40194	14195
739	40265	14147
740	40333	14097
741	40397	14046
742	40470	13998
743	40533	13947
744	40599	13896
745	40660	13844
746	40715	13789
747	40770	13735
748	40835	13684
749	40900	13633
750	40952	13578
751	41002	13522
752	41059	13468
753	41127	13418
754	41210	13372
755	41275	13321
756	41340	13270
757	41398	13216
758	41444	13159
759	41502	13105
760	41566	13054
761	41637	13004
762	41701	12953
763	41762	12900
764	41828	12849
765	41886	12795
766	41952	12744
767	42012	12691
768	42069	12637
769	42135	12585
770	42199	12534
771	42260	12481
772	42318	12427
773	42383	12375
774	42444	12322
775	42502	12268
776	42565	12216
777	42623	12162
778	42681	12108
779	42747	12056
780	42800	12001
781	42845	11944
782	42912	11892
783	42966	11837
784	43006	11778
785	43067	11725
786	43126	11672
787	43163	11612
788	43208	11555
789	43252	11497
790	43290	11438
791	43329	11379
792	43371	11321
793	43435	11269
