iter	RMSE
0	39.06024865
1	39.05865045
2	39.05741308
3	39.05556542
4	39.05406136
5	39.05285732
6	39.05102969
7	39.05035668
8	39.04962328
9	39.04826362
10	39.04778034
11	39.04725437
12	39.04665443
13	39.04607361
14	39.04579277
15	39.04505478
16	39.04416425
17	39.04393046
18	39.04366636
19	39.04305587
20	39.0428559
21	39.04224635
22	39.04145915
23	39.04096507
24	39.0409062
25	39.04068641
26	39.04064199
27	39.04044926
28	39.04041343
29	39.04029509
30	39.04003328
31	39.03975551
32	39.03960191
33	39.03951951
34	39.03944428
35	39.03941834
36	39.03921436
37	39.03892894
38	39.03892894
39	39.0386077
40	39.03831435
41	39.03798447
42	39.03778333
43	39.03765268
44	39.03750365
45	39.03743572
46	39.03733815
47	39.03715154
48	39.03697463
49	39.03672344
50	39.036699
51	39.0365993
52	39.0365993
53	39.03649162
54	39.03626266
55	39.03612384
56	39.03581772
57	39.03554195
58	39.03526467
59	39.03480912
60	39.03480169
61	39.03469378
62	39.03421752
63	39.03392208
64	39.03348073
65	39.0331972
66	39.03286733
67	39.03250217
68	39.0321591
69	39.03215247
70	39.03199526
71	39.03190011
72	39.03171536
73	39.03165063
74	39.03150228
75	39.03132412
76	39.03118064
77	39.0310072
78	39.03079359
79	39.03075795
80	39.03058629
81	39.03047921
82	39.03012691
83	39.02993281
84	39.02983646
85	39.02975204
86	39.02968049
87	39.02944808
88	39.02924325
89	39.02901957
90	39.02900545
91	39.02883341
92	39.02877922
93	39.02871845
94	39.02849326
95	39.02843106
96	39.02819614
97	39.02794393
98	39.02791156
99	39.02778183
100	39.02772447
101	39.02758334
102	39.02752026
103	39.02734738
104	39.02724482
105	39.02712833
106	39.0270047
107	39.02661337
108	39.02656696
109	39.02632847
110	39.02627821
111	39.0260476
112	39.02599348
113	39.02561263
114	39.0253087
115	39.02518798
116	39.02492039
117	39.02477658
118	39.0245878
119	39.0245356
120	39.02443673
121	39.02386539
122	39.02369265
123	39.02356576
124	39.02330249
125	39.02287521
126	39.02254268
127	39.02219506
128	39.02205907
129	39.02198431
130	39.02163487
131	39.02157037
132	39.02101094
133	39.0207374
134	39.02068798
135	39.02060333
136	39.02052795
137	39.02036041
138	39.02013257
139	39.01971091
140	39.01946733
141	39.0192595
142	39.01869863
143	39.01834382
144	39.01830151
145	39.01825587
146	39.01818892
147	39.01795688
148	39.01753295
149	39.01745019
150	39.01739409
151	39.01701776
152	39.01670308
153	39.01615151
154	39.01610518
155	39.01597122
156	39.01593562
157	39.01584096
158	39.01569345
159	39.01562722
160	39.01548033
161	39.01533973
162	39.01525552
163	39.01474847
164	39.01467311
165	39.01462036
166	39.01420455
167	39.01408737
168	39.01405406
169	39.01370316
170	39.01352556
171	39.01345716
172	39.01313466
173	39.01278744
174	39.01273233
175	39.01245845
176	39.01228855
177	39.0122291
178	39.01187104
179	39.01148579
180	39.01132059
181	39.01116984
182	39.01109643
183	39.01074363
184	39.01069838
185	39.01047673
186	39.01039593
187	39.01035433
188	39.01029394
189	39.01007667
190	39.01002906
191	39.00991101
192	39.00952151
193	39.00906239
194	39.00895554
195	39.00874962
196	39.00868956
197	39.00844091
198	39.00839527
199	39.00831669
200	39.00816705
201	39.00809737
202	39.00775767
203	39.00767768
